id,original_name,generated_name,authors,year,name,journal
1081,Perceived ease of use,Perceived Ease of Use,"Hwang, Y.",2005,"Investigating enterprise systems adoption: Uncertainty avoidance, intrinsic motivation, and the technology acceptance model",European Journal of Information Systems
1082,Perceived usefulness,Perceived Usefulness,"Hwang, Y.",2005,"Investigating enterprise systems adoption: Uncertainty avoidance, intrinsic motivation, and the technology acceptance model",European Journal of Information Systems
1083,Behavioral Intention,Behavioral Intention,"Hwang, Y.",2005,"Investigating enterprise systems adoption: Uncertainty avoidance, intrinsic motivation, and the technology acceptance model",European Journal of Information Systems
1084,Objective MC intensity,Objective Multicommunicating Intensity,"Cameron, A.-F., Webster, J.",2013,Multicommunicating: Juggling multiple conversations in the workplace,Information Systems Research
1085,Experienced MC intensity,Experienced Multicommunicating Intensity,"Cameron, A.-F., Webster, J.",2013,Multicommunicating: Juggling multiple conversations in the workplace,Information Systems Research
1086,Media fit,Media Fit,"Cameron, A.-F., Webster, J.",2013,Multicommunicating: Juggling multiple conversations in the workplace,Information Systems Research
1087,MC initiator (focal vs. partner),Multicommunicating Initiator,"Cameron, A.-F., Webster, J.",2013,Multicommunicating: Juggling multiple conversations in the workplace,Information Systems Research
1088,Process losses,Process losses,"Cameron, A.-F., Webster, J.",2013,Multicommunicating: Juggling multiple conversations in the workplace,Information Systems Research
1089,Conversation leveraging,Conversation Leveraging,"Cameron, A.-F., Webster, J.",2013,Multicommunicating: Juggling multiple conversations in the workplace,Information Systems Research
1090,Productivity,Productivity,"Cameron, A.-F., Webster, J.",2013,Multicommunicating: Juggling multiple conversations in the workplace,Information Systems Research
1091,MC preferences,Multicommunicating Preferences,"Cameron, A.-F., Webster, J.",2013,Multicommunicating: Juggling multiple conversations in the workplace,Information Systems Research
1092,Economic value,Economic Value,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1093,Past investments,Past Investments,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1094,Technical self-efficacy,Technical self efficacy,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1095,Benefit-loss costs,Benefit Loss Costs,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1096,Service-uncertainty costs,Service Uncertainty Costs,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1097,Brand-relationship costs,Brand relationship costs,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1098,Search and evaluation costs,Search and Evaluation Costs,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1099,Transfer costs,Transfer Costs,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1100,Learning costs,Learning Costs,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1101,Satisfaction,Satisfaction,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1102,Loyalty,Loyalty,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1103,Trust,Trust,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1325,Perceived switching costs (ePSC),Perceived Switching Costs,"Ray, S., Kim, S.S., Morris, J.G.",2012,Online users' switching costs: Their nature and formation,Information Systems Research
1104,Outcome control-quality,Outcome Control Quality,"Gopal, A., Gosain, S.",2010,The role of organizational controls and boundary spanning in software development outsourcing: Implications for project performance,Information Systems Research
1105,Outcome control-efficiency,Outcome Control Efficiency,"Gopal, A., Gosain, S.",2010,The role of organizational controls and boundary spanning in software development outsourcing: Implications for project performance,Information Systems Research
1106,Collaborative culture (clan),Collaborative Culture,"Gopal, A., Gosain, S.",2010,The role of organizational controls and boundary spanning in software development outsourcing: Implications for project performance,Information Systems Research
1107,Software Quality,Software Quality,"Gopal, A., Gosain, S.",2010,The role of organizational controls and boundary spanning in software development outsourcing: Implications for project performance,Information Systems Research
1108,Project efficiency,Project Efficiency,"Gopal, A., Gosain, S.",2010,The role of organizational controls and boundary spanning in software development outsourcing: Implications for project performance,Information Systems Research
1109,Boundary spanning,Boundary Spanning,"Gopal, A., Gosain, S.",2010,The role of organizational controls and boundary spanning in software development outsourcing: Implications for project performance,Information Systems Research
1110,Behavioral Control (Software Process Control),Behavioral Control,"Gopal, A., Gosain, S.",2010,The role of organizational controls and boundary spanning in software development outsourcing: Implications for project performance,Information Systems Research
1111,Punishment certainty,Punishment Certainty,"Kwan, S.S.K., So, M.K.P., Tam, K.Y.",2010,Applying the randomized response technique to elicit truthful responses to sensitive questions in is research: The case of software piracy behavior,Information Systems Research
1112,Software cost,Software Cost,"Kwan, S.S.K., So, M.K.P., Tam, K.Y.",2010,Applying the randomized response technique to elicit truthful responses to sensitive questions in is research: The case of software piracy behavior,Information Systems Research
1113,Attitude,Attitude,"Kwan, S.S.K., So, M.K.P., Tam, K.Y.",2010,Applying the randomized response technique to elicit truthful responses to sensitive questions in is research: The case of software piracy behavior,Information Systems Research
1114,Piracy behavior,Software piracy behavior,"Kwan, S.S.K., So, M.K.P., Tam, K.Y.",2010,Applying the randomized response technique to elicit truthful responses to sensitive questions in is research: The case of software piracy behavior,Information Systems Research
1115,Technostress creators,Technostress Creators,"Ragu-Nathan, T.S., Tarafdar, M., Ragu-Nathan, B.S., Tu, Q.",2008,The consequences of technostress for end users in organizations: Conceptual development and validation,Information Systems Research
1116,Technostress inhibitors,Technostress Inhibitors,"Ragu-Nathan, T.S., Tarafdar, M., Ragu-Nathan, B.S., Tu, Q.",2008,The consequences of technostress for end users in organizations: Conceptual development and validation,Information Systems Research
1117,Job satisfaction,Job satisfaction,"Ragu-Nathan, T.S., Tarafdar, M., Ragu-Nathan, B.S., Tu, Q.",2008,The consequences of technostress for end users in organizations: Conceptual development and validation,Information Systems Research
1118,Organizational commitment,Organizational Commitment,"Ragu-Nathan, T.S., Tarafdar, M., Ragu-Nathan, B.S., Tu, Q.",2008,The consequences of technostress for end users in organizations: Conceptual development and validation,Information Systems Research
1119,Continuance commitment,Continuance Commitment,"Ragu-Nathan, T.S., Tarafdar, M., Ragu-Nathan, B.S., Tu, Q.",2008,The consequences of technostress for end users in organizations: Conceptual development and validation,Information Systems Research
1120,Perceived Internet privacy risk (PR),Perceived Internet Privacy Risk,"Dinev, T., Hart, P.",2006,An extended privacy calculus model for e-commerce transactions,Information Systems Research
1121,Internet privacy concerns (PC),Internet Privacy Concerns,"Dinev, T., Hart, P.",2006,An extended privacy calculus model for e-commerce transactions,Information Systems Research
1122,Internet trust (T),Internet trust,"Dinev, T., Hart, P.",2006,An extended privacy calculus model for e-commerce transactions,Information Systems Research
1123,Personal Internet interest (PI),Personal Internet Interest,"Dinev, T., Hart, P.",2006,An extended privacy calculus model for e-commerce transactions,Information Systems Research
1124,Willingness to provide personal information to transact on the Internet (PPIT),Willingness to provide personal information to transact on [truncated],"Dinev, T., Hart, P.",2006,An extended privacy calculus model for e-commerce transactions,Information Systems Research
1125,Past use,Past Use,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1126,Utilitarian value,Utilitarian Value,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1127,Hedonic value,Hedonic Value,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1128,Social value,Social Value,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1129,Usage intention,Usage intention,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1130,IT usage,Information technology use,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1131,Age,Age,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1132,Gender,Gender,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1133,Internet Experience,Internet Experience,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1134,Target Experience,Target System Experience,"Kim, S.S., Malhotra, N.K., Narasimhan, S.",2005,Two competing perspectives on automatic use: A theoretical and empirical comparison,Information Systems Research
1135,Technology Competence,Technology Competence,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1136,Size,Firm size,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1137,International scope,International Scope,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1138,Financial commitment,Financial Commitment,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1139,Competitive pressure,Competitive Pressure,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1140,Regulatory support,Regulatory Support,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1141,Front-end functionality,Front end functionality,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1142,Back-end integration,Back-end integration,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1144,E-Business Value,Electronic Business Value,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1145,Impact on Sales,Impact on Sales,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1146,Impact on internal operations,Impact on Internal Operations,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1147,Impact on procurement,Impact on Procurement,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1148,E-Business use,E Business Use,"Zhu, K., Kraemer, K.L.",2005,Post-adoption variations in usage and value of e-business by organizations: Cross-country evidence from the retail industry,Information Systems Research
1149,Collection,Collection of Personal Information,"Malhotra, N.K., Kim, S.S., Agarwal, J.",2004,"Internet users' information privacy concerns (IUIPC): The construct, the scale, and a causal model",Information Systems Research
1151,Control,Control,"Malhotra, N.K., Kim, S.S., Agarwal, J.",2004,"Internet users' information privacy concerns (IUIPC): The construct, the scale, and a causal model",Information Systems Research
1153,Awareness,Awareness of Privacy Practices,"Malhotra, N.K., Kim, S.S., Agarwal, J.",2004,"Internet users' information privacy concerns (IUIPC): The construct, the scale, and a causal model",Information Systems Research
1156,Internet User's Information Privacy Concerns (IUIPC),Internet Users' Information Privacy Concerns,"Malhotra, N.K., Kim, S.S., Agarwal, J.",2004,"Internet users' information privacy concerns (IUIPC): The construct, the scale, and a causal model",Information Systems Research
1157,Intention to Give Information,Intention to Give Information,"Malhotra, N.K., Kim, S.S., Agarwal, J.",2004,"Internet users' information privacy concerns (IUIPC): The construct, the scale, and a causal model",Information Systems Research
1158,Trusting beliefs,Trusting Beliefs,"Malhotra, N.K., Kim, S.S., Agarwal, J.",2004,"Internet users' information privacy concerns (IUIPC): The construct, the scale, and a causal model",Information Systems Research
1159,Risk beliefs,Risk Beliefs,"Malhotra, N.K., Kim, S.S., Agarwal, J.",2004,"Internet users' information privacy concerns (IUIPC): The construct, the scale, and a causal model",Information Systems Research
1160,Behavioral Intention,Behavioral Intention,"Malhotra, N.K., Kim, S.S., Agarwal, J.",2004,"Internet users' information privacy concerns (IUIPC): The construct, the scale, and a causal model",Information Systems Research
1161,Environmental Uncertainty,Environmental Uncertainty,"Karimi, J., Somers, T.M., Gupta, Y.P.",2004,Impact of environmental uncertainty and task characteristics on user satisfaction with data,Information Systems Research
1162,Task nonroutineness & interdependence,Task Nonroutineness and Interdependence,"Karimi, J., Somers, T.M., Gupta, Y.P.",2004,Impact of environmental uncertainty and task characteristics on user satisfaction with data,Information Systems Research
1163,Satisfaction with IS,Satisfaction with Information Systems,"Karimi, J., Somers, T.M., Gupta, Y.P.",2004,Impact of environmental uncertainty and task characteristics on user satisfaction with data,Information Systems Research
1164,Satisfaction with data,Satisfaction with data,"Karimi, J., Somers, T.M., Gupta, Y.P.",2004,Impact of environmental uncertainty and task characteristics on user satisfaction with data,Information Systems Research
1165,Satisfaction with IS support,Satisfaction with Information Systems support,"Karimi, J., Somers, T.M., Gupta, Y.P.",2004,Impact of environmental uncertainty and task characteristics on user satisfaction with data,Information Systems Research
1166,IT Knowledge,Information Technology Knowledge,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1167,Knowledge of Application,Knowledge of Applications,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1168,Knowledge of System Development,Knowledge of System Development,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1169,Knowledge of Management of IT,Knowledge of Information Technology Management,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1170,Knowledge of Access to Information,Knowledge of Access to Information,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1171,Experience in IT Projects,Experience in IT Projects,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1172,Experience in General Management of IT,Experience in General Management of Information Technology,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1173,Knowledge of Technologies,Knowledge of Technologies,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1174,IT Experience,Information Technology Experience,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1175,Intentions to Champion IT,Intentions to Champion Information Technology,"Bassellier, G., Benbasat, I., Reich, B.H.",2003,The Influence of Business Managers' IT Competence on Championing IT,Information Systems Research
1176,Retention Enhancement Intervention,Retention Enhancement Intervention,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1177,Pretaining Motivation To Learn,Pretraining Motivation to Learn,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1178,Pretraining Software Self-Efficacy,Pretraining Software Self Efficacy,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1179,Attention Processes,Attention Processes,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1180,Retention Processes,Retention Processes,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1181,Production Processes,Production Processes,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1182,Motivation Processes,Motivation Processes,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1183,Observational Learning Processes,Observational Learning Processes,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1184,Declarative Knowledge,Declarative Knowledge,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1185,Post-training Software Self-Efficacy,Post-training Software Self-efficacy,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1186,Immediate Task Performance,Immediate Task Performance,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1187,Delayed Task Performance,Delayed Task Performance,"Yi, M.Y., Davis, F.D.",2003,Developing and validating an observational learning model of computer software training and skill acquisition,Information Systems Research
1188,Consensus on Appropriation,Consensus on Appropriation,"Salisbury, Wm.D., Chin, W.W., Gopal, A., Newsted, P.R.",2002,Research report: Better theory through measurement - Developing a scale to capture consensus on appropriation,Information Systems Research
1189,Faithfulness of appropriation,Faithfulness of Appropriation,"Salisbury, Wm.D., Chin, W.W., Gopal, A., Newsted, P.R.",2002,Research report: Better theory through measurement - Developing a scale to capture consensus on appropriation,Information Systems Research
1190,Ease of use,Ease of use,"Salisbury, Wm.D., Chin, W.W., Gopal, A., Newsted, P.R.",2002,Research report: Better theory through measurement - Developing a scale to capture consensus on appropriation,Information Systems Research
1191,Usefulness,Perceived Usefulness,"Salisbury, Wm.D., Chin, W.W., Gopal, A., Newsted, P.R.",2002,Research report: Better theory through measurement - Developing a scale to capture consensus on appropriation,Information Systems Research
1192,Decision Scheme Satisfaction,Decision Scheme Satisfaction,"Salisbury, Wm.D., Chin, W.W., Gopal, A., Newsted, P.R.",2002,Research report: Better theory through measurement - Developing a scale to capture consensus on appropriation,Information Systems Research
1193,Competitive pressure,Competitive Pressure,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1194,Dependency on Trading Partner,Dependency on Trading Partner,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1195,Enacted Trading Partner Power,Enacted Trading Partner Power,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1196,Industry Pressure,Industry Pressure,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1197,Financial Resources,Financial Resources,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1198,IT Sophistication,Information Technology Sophistication,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1199,Trading Partner Readiness,Trading Partner Readiness,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1200,External Pressure,External Pressure,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1201,Perceived Benefits,Perceived Benefits,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1202,Readiness,Readiness,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1203,Intent to Adopt EDI,Intent to Adopt Electronic Data Interchange,"Chwelos, P., Benbasat, I., Dexter, A.S.",2001,Research Report: Empirical Test of an EDI Adoption Model,Information Systems Research
1216,Top Management Support,Top Management Support,"Thong, J.Y.L., Yap, C.-S., Raman, K.S.",1996,"Top Management Support, External Expertise and Information Systems Implementation in Small Businesses",Information Systems Research
1217,Consultant Effectiveness,Consultant Effectiveness,"Thong, J.Y.L., Yap, C.-S., Raman, K.S.",1996,"Top Management Support, External Expertise and Information Systems Implementation in Small Businesses",Information Systems Research
1218,Vendor support,Vendor Support,"Thong, J.Y.L., Yap, C.-S., Raman, K.S.",1996,"Top Management Support, External Expertise and Information Systems Implementation in Small Businesses",Information Systems Research
1219,User Satisfaction,User Satisfaction,"Thong, J.Y.L., Yap, C.-S., Raman, K.S.",1996,"Top Management Support, External Expertise and Information Systems Implementation in Small Businesses",Information Systems Research
1220,Organizational Impact,Organizational Impact,"Thong, J.Y.L., Yap, C.-S., Raman, K.S.",1996,"Top Management Support, External Expertise and Information Systems Implementation in Small Businesses",Information Systems Research
1221,Overall IS Effectiveness,Overall Information Systems Effectiveness,"Thong, J.Y.L., Yap, C.-S., Raman, K.S.",1996,"Top Management Support, External Expertise and Information Systems Implementation in Small Businesses",Information Systems Research
1222,Formal Integration mechanisms,Formal Integration Mechanisms,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1223,Informal Integration mechanisms,Informal Integration Mechanisms,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1224,Social capital between business and IT,Social Capital Between Business and Information Technology,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1225,Business performance,Business Performance,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1319,Firm Size,Firm Size,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1320,Strategy,Business Strategy,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1321,Compentition,Competition,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1322,Bank Type,Bank Type,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1323,M&A's,Mergers and Acquisitions,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1324,Business understanding of IT personnel,Business Understanding of IT Personnel,"Schlosser, F., Beimborn, D., Weitzel, T., Wagner, H.-T.",2015,Achieving social alignment between business and IT - An empirical evaluation of the efficacy of IT governance mechanisms,Journal of Information Technology
1226,Customer Loyalty,Customer Loyalty,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1227,Customer Dissatisfaction,Customer Dissatisfaction,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1228,Customer Satisfaction,Customer Satisfaction,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1229,Functional Perception,Functional Perception,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1230,Motivating Perception,Motivating Perception,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1231,Network Quality,Network Quality,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1232,Value-added service,Value-added service,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1233,Customer complaints handling,Customer Complaints Handling,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1234,Customer convenience,Customers' perceived convenience of the subscription and change [truncated],"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1235,Billing system,"Customers' perceived accuracy and easiness of understanding, and [truncated]","Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1236,Price structure,Customers' perceived reasonableness of the price and the [truncated],"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1237,Offline service quality,Customers' perceived quality of the service conveyed through [truncated],"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1238,Hotline service quality,Customers' perceived quality of the service conveyed through [truncated],"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1239,Online service usefulness,Online Service Usefulness,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1240,Online service ease of use,Online service ease of use,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1241,Corporate image,Corporate Image,"Chen, A., Lu, Y., Gupta, S., Xiaolin, Q.",2014,Can customer satisfaction and dissatisfaction coexist? An issue of telecommunication service in China,Journal of Information Technology
1242,Convenience in relationship maintenance,Convenience in Relationship Maintenance,"Krasnova, H., Spiekermann, S., Koroleva, K., Hildebrand, T.",2010,Online social networks: Why we disclose,Journal of Information Technology
1243,Relationship building,Relationship Building,"Krasnova, H., Spiekermann, S., Koroleva, K., Hildebrand, T.",2010,Online social networks: Why we disclose,Journal of Information Technology
1244,Self-presenation,Self-presentation,"Krasnova, H., Spiekermann, S., Koroleva, K., Hildebrand, T.",2010,Online social networks: Why we disclose,Journal of Information Technology
1245,Enjoyment,Enjoyment,"Krasnova, H., Spiekermann, S., Koroleva, K., Hildebrand, T.",2010,Online social networks: Why we disclose,Journal of Information Technology
1246,Perceived privacy risk,Perceived privacy risk,"Krasnova, H., Spiekermann, S., Koroleva, K., Hildebrand, T.",2010,Online social networks: Why we disclose,Journal of Information Technology
1247,Trust in OSN provider (Online social networks),Trust in Online Social Network Provider,"Krasnova, H., Spiekermann, S., Koroleva, K., Hildebrand, T.",2010,Online social networks: Why we disclose,Journal of Information Technology
1248,Trust in other OSN (Online social networks) members,Trust in other online social network members,"Krasnova, H., Spiekermann, S., Koroleva, K., Hildebrand, T.",2010,Online social networks: Why we disclose,Journal of Information Technology
1249,Perceived control,Perceived control,"Krasnova, H., Spiekermann, S., Koroleva, K., Hildebrand, T.",2010,Online social networks: Why we disclose,Journal of Information Technology
